ID	Hospedador	Especie
GU985153	invertebrates,plants	Rhabdoviridae,Cytorhabdovirus,Northern cereal mosaic cytorhabdovirus
HM143904	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
HQ331233	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
HQ331234	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
HQ331235	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
HQ738643	vertebrates	Circoviridae,,Chicken associated cyclovirus 1
JF704091	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
JF704099	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Suffolk
JF705877	vertebrates	Rhabdoviridae,Sripuvirus,Almpiwar sripuvirus
JF706231	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
JF937096	bacteria	Siphoviridae,Cjw1virus,Mycobacterium virus Toto
JN127373	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
JN638446	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
JN698990	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
JN699009	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
JN710440	plants	Rhabdoviridae,Varicosavirus,Lettuce big-vein associated varicosavirus
JN710441	plants	Rhabdoviridae,Varicosavirus,Lettuce big-vein associated varicosavirus
JQ067083	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
JQ412057	plants	Genomoviridae,Gemycircularvirus,Cassava associated gemycircularvirus 1
JX193616	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
JX649096	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
JX649097	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
JX649098	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Suffolk
JX649100	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
KC551800	vertebrates,human	Flaviviridae,Hepacivirus,Hepacivirus D
KC551801	vertebrates,human	Flaviviridae,Hepacivirus,Hepacivirus D
KC618398	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KC978939	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978940	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978941	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978942	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978943	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978944	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978945	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978946	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978947	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978949	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978950	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978951	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978952	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978953	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978954	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978955	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KC978956	plants	Nanoviridae,Nanovirus,Black medic leaf roll virus
KF031466	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF031467	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF031468	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF031469	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF031470	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF031471	vertebrates	Circoviridae,,Human associated cyclovirus 8
KF726985	vertebrates	Circoviridae,,Human associated cyclovirus 10
KF726986	vertebrates	Circoviridae,,Human associated cyclovirus 10
KF726987	vertebrates	Circoviridae,,Human associated cyclovirus 10
KF806702	plants	Geminiviridae,Mastrevirus,Switchgrass mosaic-associated virus
KF981875	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus F8
KJ194583	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Suffolk
KJ567044	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Suffolk
KJ605111	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
KJ614228	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
KJ700654	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
KJ700655	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
KJ940970	invertebrates,plants	Tymoviridae,Tymovirus,Tomato blistering mosaic tymovirus
KM101117	bacteria	Siphoviridae,Rosebushvirus,Mycobacterium virus Rosebush
KM363597	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Oline
KM392284	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM392285	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM392286	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM392287	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM392288	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM392289	vertebrates	Circoviridae,,Human associated cyclovirus 8
KM873612	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KM873613	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KM873614	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KM873615	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KM873616	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KM873617	vertebrates	Picornaviridae,Torchivirus,Torchivirus A
KP027209	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Pg1
KP133076	vertebrates,human	Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2
KP133077	vertebrates,human	Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2
KP133078	vertebrates,human	Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2
KP133079	vertebrates,human	Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2
KP133080	vertebrates,human	Genomoviridae,Gemykibivirus,Human associated gemykibivirus 2
KP710599	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KP710600	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KP710603	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KP710604	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KP710605	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KP777548	invertebrates	Iflaviridae,Iflavirus,Brevicoryne brassicae virus
KP974694	vertebrates,human	Genomoviridae,Gemyvongvirus,Human associated gemyvongvirus 1
KR052158	plants	Tolecusatellitidae,,Chili leaf curl betasatellite
KR054028	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KR233165	bacteria	Myoviridae,T4virus,Escherichia virus HY01
KR612369	vertebrates	Polyomaviridae,Betapolyomavirus,Myodes glareolus polyomavirus 1
KR612370	vertebrates	Polyomaviridae,Betapolyomavirus,Myodes glareolus polyomavirus 1
KR612371	vertebrates	Polyomaviridae,Betapolyomavirus,Myodes glareolus polyomavirus 1
KR612372	vertebrates	Polyomaviridae,Betapolyomavirus,Myodes glareolus polyomavirus 1
KR612374	vertebrates	Polyomaviridae,Betapolyomavirus,Microtus arvalis polyomavirus 1
KR862311	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862318	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862319	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862323	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862324	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862326	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862327	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR862329	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KR935217	bacteria	Siphoviridae,Cronusvirus,Rhodobacter virus RcCronus
KT166442	vertebrates,human	Flaviviridae,Pegivirus,Pegivirus C
KT253150	bacteria	Siphoviridae,Cronusvirus,Rhodobacter virus RcCronus
KT253578	plants	Genomoviridae,Gemycircularvirus,Poaceae associated gemycircularvirus 1
KT253579	plants	Genomoviridae,Gemycircularvirus,Poaceae associated gemycircularvirus 1
KT254130	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT254131	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT254132	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT254133	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT321476	bacteria	Myoviridae,Bxz1virus,Mycobacterium virus Bxz1
KT361650	bacteria	Siphoviridae,Sitaravirus,Paenibacillus virus Willow
KT361655	bacteria	Siphoviridae,Vegasvirus,Paenibacillus virus Vegas
KT361656	bacteria	Siphoviridae,Vegasvirus,Paenibacillus virus Vegas
KT361657	bacteria	Siphoviridae,Vegasvirus,Paenibacillus virus Vegas
KT364588	bacteria	Siphoviridae,Pg1virus,Mycobacterium virus Suffolk
KT365398	bacteria	Myoviridae,Bxz1virus,Mycobacterium virus Bxz1
KT365400	bacteria	Myoviridae,Bxz1virus,Mycobacterium virus Bxz1
KT365402	bacteria	Siphoviridae,Rosebushvirus,Mycobacterium virus Rosebush
KT372690	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372691	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372692	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372693	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
KT372694	bacteria	Myoviridae,Pbunavirus,Pseudomonas virus PB1
